Model	Last_Change_Date	Region	Make	Aircraft_Group	Regis_Code	Design_Character	No_Engines	Type_Engine	Type_Landing_Gear	TC_Data_Sheet_Number	TC_Model
058B        	09/09/2003	GL	ARONCA	58    	0191006	1H7	1          	  	  	A751    	AERONCA058B         
1000CLARK   	08/31/1984	SW	CLARK 	1000  	2230102	1Q7	1          	3R	  	2A6     	1000                
100180      	03/22/1983	SW	SLINDS	100   	0140208	1H7	1          	3O	  	1A21    	100180              
1002        	10/07/1999	GL	AMTR  	NORD  	6380102	1L7	1          	3I	RC	EXPAIL71	NORD1002            
100A        	03/22/1983	SW	SLINDS	100   	0140204	1H7	1          	3O	  	1A21    	100A                
100ACMDR    	03/22/1983	SW	SLINDS	100   	0140202	1H7	1          	3O	  	1A21    	100                 
100BEECH    	02/09/2001	CE	BEECH 	100   	1152916	1L7	2          	3T	  	A14CE   	100                 
100BOEING   	03/22/1983	NM	BOEING	100   	1381902	1Q7	1          	3R	  	ATC133  	100                 
1011        	07/12/1999	NM	LKHEED	1011  	N/A-SDR	2L7	3          	4F	RT	A23WE   	L1011               
1011*       	03/22/1983	WP	LKHEED	1011  	       	2L7	3          	4F	  	A23WE   	L1011MODELUNK       
10113851    	03/22/1983	WP	LKHEED	1011  	5265010	2L7	3          	4F	  	A23WE   	L10113851           
1011385114  	03/22/1983	WP	LKHEED	1011  	       	2L7	3          	4F	  	A23WE   	L1011385114         
1011385115  	03/22/1983	WP	LKHEED	1011  	5265015	2L7	3          	4F	  	A23WE   	L1011385115         
10113853    	03/22/1983	WP	LKHEED	1011  	5265020	2L7	3          	4F	  	A23WE   	L10113853           
101ACENTR   	02/19/1986	EU	CNTRAR	101   	1990102	1K0	0          	  	RC	G46EU   	101A                
101APCENTR  	02/19/1986	EU	CNTRAR	101   	1990104	1K0	0          	  	RC	G46EU   	101AP               
101CCENTR   	10/30/2007	GL	CNTRAR	101   	1990105	1K0	0          	  	RC	        	CENTRAIR101C        
101DCENTR   	10/15/2008	EU	CNTRAR	101   	1990109	1K0	0          	  	  	        	101D PAGASE         
101MITCHL   	03/22/1983	EA	MITCHL	101   	2000102	1H7	1          	3R	  	4A15    	CENTAUR101          
101PCENTR   	10/15/2008	EU	CNTRAR	101   	2000103	1K0	0          	  	  	G46EU   	101P                
101ROOS     	03/22/1983	CE	ROOS  	A1    	7680104	1Q7	1          	3V	  	ATC17   	101                 
10200       	08/08/1990	GL	AMTR  	ULTMAT	05612RF	1L7	1          	3O	NT	EXPA1L71	ULTIMATE 10200      
102AARISTOCR	03/22/1983	EA	GENAC 	102   	       	1H7	1          	3R	  	ATC117  	ARISTROCRAT102A     
102E        	11/01/2001	EA	GENAC 	102   	3770104	1H7	1          	3R	  	ATC210  	102E                
102MITCHL   	03/22/1983	EA	MITCHL	102   	2000202	1H7	1          	3R	  	4A15    	102                 
10300S      	04/11/1991	GL	AMTR  	10300S	7220529	1Q7	1          	3O	NC	EXPA1Q71	ULTIMATE 10 300S    
103EXECUTIVE	10/02/2001	GL	AMTR  	103   	0562167	1H7	2          	3O	  	EXPA1H72	BUEHLEREXECUTIVE103 
1049*       	03/22/1983	WP	LKHEED	1049  	       	2L7	4          	4R	  	6A5     	1049MODELUNK        
104954      	06/10/1991	SO	LKHEED	1049  	5262102	2L7	4          	4R	  	6A5     	104954              
1049B55     	06/10/1991	SO	LKHEED	1049  	5262104	2L7	4          	4R	  	6A5     	1049B55             
1049C55     	06/10/1991	SO	LKHEED	1049  	5262107	2L7	4          	4R	  	6A5     	1049C55             
1049D55     	06/10/1991	SO	LKHEED	1049  	5262110	2L7	4          	4R	  	6A5     	1049D55             
1049E55     	06/10/1991	SO	LKHEED	1049  	5262114	2L7	4          	4R	  	6A5     	1049E55             
1049F55     	06/10/1991	SO	LKHEED	1049  	5262116	2L7	4          	4R	  	6A5     	1049F55             
1049G82     	06/10/1991	SO	LKHEED	1049  	5262120	2L7	4          	4R	  	6A5     	1049G82             
1049H82     	06/10/1991	SO	LKHEED	1049  	5262122	2L7	4          	4R	  	6A5     	1049H82             
107*        	11/14/1984	EA	BOEING	107   	9420602	2G7	2          	4U	  	1H16    	107MODELUNK         
1072        	11/14/1984	EA	BOEING	107   	9420604	2G7	2          	4U	  	1H16    	1072                
1072A       	11/14/1984	EA	BOEING	107   	9420606	2G7	2          	4U	  	1H16    	1072A               
1072B       	11/14/1984	EA	BOEING	107   	9420608	2G7	2          	4U	  	1H16    	1072B               
108         	03/22/1983	NM	UNIVAR	108   	9230402	1H7	1          	3O	  	A767    	108                 
1081        	03/22/1983	NM	UNIVAR	108   	9230404	1H7	1          	3O	  	A767    	1081                
1082        	03/22/1983	NM	UNIVAR	108   	9230406	1H7	1          	3O	  	A767    	1082                
1083        	03/22/1983	NM	UNIVAR	108   	9230408	1H7	1          	3O	  	A767    	1083                
1085        	11/06/2001	NM	UNIVAR	108   	9230409	1H7	1          	3O	  	A767    	1085                
10AALAMER   	03/22/1983	WP	ALAMER	10    	0500102	1L7	1          	3O	  	A792    	10A                 
10ALKHEED   	03/22/1983	WP	LKHEED	10    	5261302	1L7	2          	3R	  	TC551   	ELECTRA10A          
10ASTNSON   	03/22/1983	GL	STNSON	10    	8632102	1H7	1          	3O	  	A738    	10A                 
10AVOLAIRE  	03/22/1983	SW	SLINDS	100   	9550104	1H7	1          	3O	  	1A21    	10A                 
10B         	03/22/1983	GL	STNSON	10    	8632106	1H7	1          	3O	  	A738    	10B                 
10BLKHEED   	03/22/1983	WP	LKHEED	10    	5261310	1L7	2          	3R	  	TC584   	ELECTRA10B          
10BSTNSON   	03/22/1983	GL	STNSON	10    	8632106	1H7	1          	3O	NC	A738    	10B                 
10ELKHEED   	03/22/1983	WP	LKHEED	10    	5261314	1L7	2          	3R	  	TC590   	ELECTRA10E          
10STNSON    	03/22/1983	GL	STNSON	10    	8632004	1H7	1          	3O	  	A709    	10                  
10VOLAIRE   	03/22/1983	SW	SLINDS	100   	9550102	1H7	1          	3O	  	1A21    	10                  
110         	03/22/1983	EA	MNCOUP	110   	5810202	1H7	1          	3R	  	TC327   	110                 
1100        	03/22/1983	WP	HILLER	FH1100	4361405	1G7	1          	3U	  	H2WE    	1100                
1100R       	09/12/1997	GL	AMTR  	1100R 	05630D2	1L7	1          	3I	NC	EXPA1L71	MINIMAX1100R        
1100RMINIMAX	07/14/1998	GL	AMTR  	1100  	1181008	1M7	1          	3I	NC	EXPA1M71	1100RMINIMAX        
1101        	10/12/1988	GL	NORD  	1101  	6380108	1L7	1          	3O	RT	EXPA1L71	NORD1101            
110SPECIAL  	03/22/1983	EA	MNCOUP	110   	5810204	1H7	1          	3R	  	2452    	110SPECIAL          
111*        	03/22/1983	EU	BAC   	111   	       	2L7	2          	4F	  	A5EU    	111MODELUNK         
111201AC    	05/01/1986	EU	BAC   	111   	       	2L7	2          	4F	RT	A5EU    	111201AC            
111201ZAC   	03/22/1983	EU	BAC   	111   	1480204	2L7	2          	4F	  	A5EU    	111201ZAC           
111203AE    	03/22/1983	EU	BAC   	111   	1480208	2L7	2          	4F	  	A5EU    	111203AE            
111204AF    	03/22/1983	EU	BAC   	111   	1480210	2L7	2          	4F	  	A5EU    	111204AF            
111211AH    	03/22/1983	EU	BAC   	111   	1480202	2L7	2          	4F	  	A5EU    	111211AH            
111212AR    	03/22/1983	EU	BAC   	111   	1480218	2L7	2          	4F	  	A5EU    	111212AR            
111215AU    	03/22/1983	EU	BAC   	111   	1480221	2L7	2          	4F	  	A5EU    	111215AU            
111401AK    	03/22/1983	EU	BAC   	111   	1480268	2L7	2          	4F	  	A5EU    	111401AK            
111410AQ    	03/22/1983	EU	BAC   	111   	1480277	2L7	2          	4F	  	A5EU    	111410AQ            
111412AEB   	03/22/1983	EU	BAC   	111   	1480270	2L7	2          	4F	  	A5EU    	111412AEB           
111414EG    	03/22/1983	EU	BAC   	111   	1480273	2L7	2          	4F	  	A5EU    	111414EG            
111416EK    	08/12/1985	EU	BAC   	111   	1480274	2L7	2          	4F	RT	A5EU    	111416EK            
111419EP    	06/04/1986	EU	BAC   	111   	1480280	2L7	2          	4F	  	A5EU    	111419EP            
111422EQ    	03/22/1983	EU	BAC   	111   	1480283	2L7	2          	4F	  	A5EU    	111422EQ            
111MCASSUTT 	08/15/2000	GL	AMTR  	CASSUT	05601RG	1M7	1          	3O	NC	EXPA1M71	111MCASSUTT         
111RKWELL   	03/22/1983	SW	GULSTM	111   	0144601	1L7	1          	3O	  	A11SO   	111                 
112         	03/22/1983	SW	GULSTM	112   	0144701	1L7	1          	3O	  	A12SO   	112                 
1121        	03/22/1983	EU	ISRAEL	1121  	0142002	2M7	2          	4J	  	A2SW    	1121                
1121A       	03/22/1983	EU	ISRAEL	1121  	0142006	2M7	2          	4J	  	A2SW    	1121A               
1121B       	03/22/1983	EU	ISRAEL	1121  	0142010	2M7	2          	4J	  	A2SW    	1121B               
1123        	03/22/1983	EU	ISRAEL	1123  	4500101	2M7	2          	4J	  	A2SW    	1123                
1124        	03/22/1983	EU	ISRAEL	1124  	4500102	2M7	2          	4F	  	A2SW    	1124                
1124A       	03/22/1983	EU	ISRAEL	1124  	4500103	2M7	2          	4F	  	A2SW    	1124A               
1125        	02/14/1986	NM	ISRAEL	1125  	       	2L7	2          	4F	RT	A16NM   	1125WESTWINDASTRA   
112A        	03/22/1983	SW	GULSTM	112   	7630302	1L7	1          	3O	  	A12SO   	112A                
112B        	03/22/1983	SW	GULSTM	112   	7630303	1L7	1          	3O	  	A12SO   	112B                
112E        	04/03/2002	GL	AMTR  	SPENCR	9570430	1H7	1          	30	RT	EXPA1H71	SPENCERAMPHIBIAN112E
112TC       	03/22/1983	SW	GULSTM	112   	7630306	1L7	1          	3O	  	A12SO   	112TC               
112TCA      	03/22/1983	SW	GULSTM	112   	7630307	1L7	1          	3O	  	A12SO   	112TCA              
114         	03/22/1983	SW	GULSTM	112   	7630314	1L7	1          	3O	  	A12SO   	114                 
114ABOEING  	11/14/1984	EA	BOEING	114   	       	2G7	2          	4U	  	H3EA    	114A                
114ARKWELL  	03/22/1983	SW	GULSTM	112   	7630315	1L7	1          	3O	  	A12SO   	114A                
114B        	11/17/1994	SW	GULSTM	114   	O145001	1L7	1          	3O	RT	A12SO   	114B                
114S        	03/22/1983	SW	GULSTM	112   	7630316	1L7	1          	3O	  	A12SO   	114S                
114TC       	12/03/2003	SW	GULSTM	114   	0145002	1L7	1          	3O	RT	A12SO   	114TC               
11A         	10/12/1989	CE	TEMCO 	11A   	8890402	1H7	1          	3O	  	TC804   	11A                 
11AC        	10/12/1989	CE	BBAVIA	11    	0191102	1H7	1          	3O	  	A761    	11AC                
11BC        	10/12/1989	CE	BBAVIA	11    	0191106	1H7	1          	3O	  	A761    	11BC                
11CC        	10/12/1989	CE	BBAVIA	11    	9140404	1H7	1          	3O	  	A796    	11CC                
11E         	01/08/2009	SW	QUARTZ	11    	7320100	1H7	1          	3O	NT	A804    	11E                 
120         	03/22/1983	CE	CESSNA	120   	2071402	1H7	1          	3O	  	A768    	120                 
120ALBL     	09/10/2008	EU	LBL   	120A  	5180026	1B0		  	  	B82EU   	LINDSTRAND120A      
125FRCHLD   	03/22/1983	EA	FRCHLD	125   	       	1Q7	1          	3I	  	ATC368  	125                 
125WACO     	03/22/1983	EA	WACO  	125   	9600202	1Q7	1          	3R	NC	ATC26   	125                 
129ROOS     	03/22/1983	CE	ROOS  	129   	7680106	1Q7	1          	3R	  	ATC124  	129                 
12A         	06/10/1991	SO	LKHEED	12A   	5261402	1L7	2          	3R	  	TC616   	12A                 
12CLARK     	03/22/1983	SW	CLARK 	12    	2230302	1Q7	1          	3R	  	2A12    	12                  
12CLOTT     	03/22/1983	WP	HILLER	UH12  	4360130	1G7	1          	3O	  	EXPA1G71	12C                 
1329        	03/22/1983	SO	LKHEED	1329  	5263102	2L7	4          	4J	  	2A15    	1329                
1329*       	03/22/1983	SO	LKHEED	1329  	       	2L7	4          	4J	  	2A15    	1329MODELUNK        
132923A     	06/04/1986	SO	LKHEED	1329  	5263106	2L7	4          	4J	  	2A15    	132923A             
132923D     	03/22/1983	SO	LKHEED	1329  	5263108	2L7	4          	4J	  	2A15    	132923D             
132923E     	03/22/1983	SO	LKHEED	1329  	5263116	2L7	4          	4J	  	2A15    	132923E             
132925      	03/22/1983	SO	LKHEED	1329  	5263125	2L7	4          	4F	  	2A1SO   	132925JETSTAR2      
14          	03/22/1983	SW	ANDGRN	14    	0740102	1H7	1          	3O	  	4A1     	14                  
140         	09/28/1993	CE	CESSNA	140   	2071602	1H7	1          	3O	NC	A768    	140                 
140A        	03/22/1983	CE	CESSNA	140   	2071604	1H7	1          	3O	  	5A2     	140A                
1412F3      	03/22/1983	EA	BLANCA	1412  	1200902	1L7	1          	3O	  	TC745   	1412F3              
1413        	03/22/1983	EA	BLANCA	1413  	1201002	1L7	1          	3O	  	A773    	1413                
14132       	03/22/1983	EA	BLANCA	1413  	1201004	1L7	1          	3O	  	A773    	14132               
14133       	03/22/1983	EA	BLANCA	1413  	1201006	1L7	1          	3O	  	A773    	14133               
14133W      	03/22/1983	EA	BLANCA	1413  	1201008	1L7	1          	3O	  	A773    	1413W               
1419        	03/22/1983	GL	BLANCA	1419  	1220402	1L7	1          	3O	  	1A3     	1419                
14192       	03/22/1983	GL	BLANCA	1419  	1220404	1L7	1          	3O	  	1A3     	14192               
14193       	03/22/1983	GL	BLANCA	1419  	1220406	1L7	1          	3O	  	1A3     	14193               
14193A      	03/22/1983	GL	BLANCA	1419  	1220408	1L7	1          	3O	  	1A3     	14193A              
1450L       	10/23/2007	EU	AMTR  	1450L 	       	1H7	1          	3O	NT	EXPA1H71	1450LSKYARROWKIT    
146100A     	02/03/1994	EU	BAC   	146   	1500260	2H7	4          	4F	RT	A49EU   	146100A             
146200A     	06/04/1986	EU	BAC   	146   	1500266	2H7	4          	4F	  	A49EU   	146200A             
146300A     	02/14/1989	EU	BAC   	146   	1500267	2H7	4          	4F	RT	A49EU   	146300A             
149         	03/22/1983	EA	BLANCA	149   	1200802	1L7	1          	3R	  	TC716   	149                 
14946       	06/10/1991	SO	LKHEED	49    	5261802	2L7	4          	4R	  	A763    	14946               
149L        	03/22/1983	EA	BLANCA	149   	1200804	1L7	1          	3R	  	TC716   	149L                
14H         	06/10/1991	SO	LKHEED	14    	5261502	2L7	2          	4R	  	ATC657  	14H                 
14H2        	06/10/1991	SO	LKHEED	14    	5261504	2L7	2          	4R	  	ATC657  	14H2                
14N         	06/10/1991	SO	LKHEED	14    	5261506	2L7	2          	4R	  	ATC683  	14N                 
14N2        	06/10/1991	SO	LKHEED	14    	5261508	2L7	2          	4R	  	ATC683  	14N2                
14N3        	06/10/1991	SO	LKHEED	14    	5261510	2L7	2          	4R	  	ATC683  	14N3                
150         	09/28/1993	CE	CESSNA	150   	2071802	1H7	1          	3O	NT	3A19    	150                 
1500RMINIMAX	08/23/1996	GL	AMTR  	1500R 	05625VF	1L7	1          	3I	NC	EXPA1L71	1500RMINIMAX        
150A        	03/22/1983	CE	CESSNA	150   	2071804	1H7	1          	3O	  	3A19    	150A                
150ALBL     	10/15/2008	GL	LBL   	150   	5180015	1B0	0          	  	  	B82EU   	LINDSTRAND 150A     
150B        	03/22/1983	CE	CESSNA	150   	2071806	1H7	1          	3O	  	3A19    	150B                
150C        	03/22/1983	CE	CESSNA	150   	2071808	1H7	1          	3O	  	3A19    	150C                
150D        	03/22/1983	CE	CESSNA	150   	2071810	1H7	1          	3O	  	3A19    	150D                
150E        	03/22/1983	CE	CESSNA	150   	2071812	1H7	1          	3O	  	3A19    	150E                
150F        	03/22/1983	CE	CESSNA	150   	2071814	1H7	1          	3O	  	3A19    	150F                
150G        	03/22/1983	CE	CESSNA	150   	2071816	1H7	1          	3O	  	3A19    	150G                
150H        	03/22/1983	CE	CESSNA	150   	2071818	1H7	1          	3O	  	3A19    	150H                
150J        	03/22/1983	CE	CESSNA	150   	2071820	1H7	1          	3O	  	3A19    	150J                
150JODEL    	03/22/1983	EU	JODEL 	150   	       	1L7	1          	3O	  	A14IN   	150                 
150K        	03/22/1983	CE	CESSNA	150   	2071822	1H7	1          	3O	  	3A19    	150K                
150L        	03/22/1983	CE	CESSNA	150   	2071826	1H7	1          	3O	  	3A19    	150L                
150M        	03/22/1983	CE	CESSNA	150   	2071830	1H7	1          	3O	  	3A19    	150M                
152         	09/28/1993	CE	CESSNA	150   	2071835	1H7	1          	3O	NT	3A19    	152                 
1588        	10/20/1994	GL	AMTR  	1588  	0561825	1M7	2          	4V	RC	EXPA1M72	1588                
15A         	03/22/1983	EA	TCRAFT	15A   	8850702	1H7	1          	3O	  	3A3     	15A                 
15AC        	03/22/1983	EA	ARONCA	15    	0191202	1H7	1          	3O	  	A802    	S15AC               
160A        	01/31/2002	EU	COLT  	160   	8970104	1B0	0          	  	  	3BEU    	COLT160A            
162         	03/13/2008	CE	CESSNA	162   	NIR    	1H7	1          	3O	NT	        	162SKYCATCHER       
1649A98     	06/10/1991	SO	LKHEED	1649  	5262204	2L7	4          	4R	  	4A17    	1649A98             
16COMMODORE1	03/22/1983	WP	CVAC  	16    	       	2H7	2          	3R	  	ATC258  	16COMMODORE1        
16COMMODOREZ	03/22/1983	WP	CVAC  	16    	       	2H7	2          	3R	  	ATC258  	16COMMODOREZ        
170         	09/28/1993	CE	CESSNA	170   	2072302	1H7	1          	3O	NT	A799    	170                 
1700RHIMAX  	06/10/1999	GL	AMTR  	1700R 	05605GO	1L7	1          	3I	NT	EXPA    	1700RHIMAX          
170A        	03/22/1983	CE	CESSNA	170   	2072304	1H7	1          	3O	  	A799    	170A                
170B        	03/22/1983	CE	CESSNA	170   	2072306	1H7	1          	3O	  	A799    	170B                
172         	09/28/1993	CE	CESSNA	172   	2072402	1H7	1          	3O	NT	3A12    	172                 
172A        	03/22/1983	CE	CESSNA	172   	2072404	1H7	1          	3O	  	3A12    	172A                
172B        	11/18/1993	CE	CESSNA	172   	2072406	1H7	1          	3O	NT	3A12    	172B                
172C        	11/18/1993	CE	CESSNA	172   	2072408	1H7	1          	3O	NT	3A12    	172C                
172D        	11/18/1993	CE	CESSNA	172   	2072410	1H7	1          	3O	NT	3A12    	172D                
172E        	11/18/1993	CE	CESSNA	172   	2072412	1H7	1          	3O	NT	3A12    	172E                
172F        	11/18/1993	CE	CESSNA	172   	2072414	1H7	1          	3O	NT	3A12    	172F                
172G        	11/18/1993	CE	CESSNA	172   	2072420	1H7	1          	3O	NT	3A12    	172G                
172H        	11/18/1993	CE	CESSNA	172   	2072424	1H7	1          	3O	NT	3A12    	172H                
172I        	11/18/1993	CE	CESSNA	172   	2072426	1H7	1          	3O	NT	3A12    	172I                
172K        	11/18/1993	CE	CESSNA	172   	2072430	1H7	1          	3O	NT	3A12    	172K                
172L        	11/18/1993	CE	CESSNA	172   	2072432	1H7	1          	3O	NT	3A12    	172L                
172M        	11/18/1993	CE	CESSNA	172   	2072418	1H7	1          	3O	NT	3A12    	172M                
172N        	11/18/1993	CE	CESSNA	172   	2072434	1H7	1          	3O	NT	3A12    	172N                
172P        	11/18/1993	CE	CESSNA	172   	2072436	1H7	1          	3O	NT	3A12    	172P                
172Q        	11/18/1993	CE	CESSNA	172   	2072437	1H7	1          	3O	NT	3A12    	172Q                
172R        	01/07/1998	CE	CESSNA	172   	2072401	1H7	1          	3O	NT	3A12    	172R                
172RG       	03/22/1983	CE	CESSNA	172   	2072438	1H7	1          	3O	  	3A17    	172RG               
172S        	02/16/1999	CE	CESSNA	172   	2072439	1H7	1          	3O	NT	3A12    	172S                
1730        	03/22/1983	GL	BLANCA	17    	1220432	1L7	1          	3O	  	1A3     	1730                
1730A       	03/22/1983	GL	BLANCA	17    	1220433	1L7	1          	3O	  	A18CE   	1730A               
1731        	03/22/1983	GL	BLANCA	17    	1220434	1L7	1          	3O	  	1A3     	1731                
1731A       	03/22/1983	GL	BLANCA	17    	1220435	1L7	1          	3O	  	A18CE   	1731A               
1731ATC     	03/22/1983	GL	BLANCA	17    	1220437	1L7	1          	3O	  	A18CE   	1731ATC             
1731TC      	03/22/1983	GL	BLANCA	17    	1220436	1L7	1          	3O	  	1A3     	1731TC              
173FGXL     	03/07/2008	CE	AMTR  	VELITY	05605LS	1M7	1          	3O	NT	EXPA1M71	VELOCITY173FGXL     
173RGELITE  	09/10/2001	GL	AMTR  	VELITY	05602SJ	1M7	1          	3O	RT	EXPA1M71	VELOCITY173RGELITE  
173RGEXL    	09/10/2001	GL	AMTR  	VELITY	05604U8	1M7	1          	3O	RT	EXPA1M71	VELOCITY173RGEXL    
173RGVELCITY	09/10/2001	GL	AMTR  	VELITY	05604O0	1H7	1          	  	  	EXPA1H71	173RGVELOCITY       
1740A       	03/22/1983	GL	BLANCA	17    	1220940	1H7	1          	3O	  	EXPA1H71	1740A               
175         	09/28/1993	CE	CESSNA	175   	2072502	1H7	1          	3O	NT	3A17    	175                 
175A        	03/22/1983	CE	CESSNA	175   	2072504	1H7	1          	3O	  	3A17    	175A                
175B        	03/22/1983	CE	CESSNA	175   	2072506	1H7	1          	3O	  	3A17    	175B                
175C        	03/22/1983	CE	CESSNA	175   	2072508	1H7	1          	3O	  	3A17    	175C                
177         	09/28/1993	CE	CESSNA	177   	2073704	1H7	1          	3O	NT	A13CE   	177                 
177A        	03/22/1983	CE	CESSNA	177   	2073706	1H7	1          	3O	  	A13CE   	177A                
177B        	03/22/1983	CE	CESSNA	177   	2073708	1H7	1          	3O	  	A13CE   	177B                
177RG       	03/22/1983	CE	CESSNA	177   	2073709	1H7	1          	3O	  	A20CE   	177RG               
18*         	02/09/2001	CE	BEECH 	18    	       	1L7	2          	3R	  	A765    	18MODELUNK          
180         	09/28/1993	CE	CESSNA	180   	2072602	1H7	1          	3O	NC	5A6     	180                 
180A        	03/22/1983	CE	CESSNA	180   	2072604	1H7	1          	3O	  	5A6     	180A                
180ALBL     	09/10/2008	EU	LBL   	180A  	5180003	1B0		  	  	B82EU   	LINDSTRAND180A      
180B        	03/22/1983	CE	CESSNA	180   	2072606	1H7	1          	3O	  	5A6     	180B                
180C        	03/22/1983	CE	CESSNA	180   	2072608	1H7	1          	3O	  	5A6     	180C                
180D        	03/22/1983	CE	CESSNA	180   	2072610	1H7	1          	3O	  	5A6     	180D                
180E        	03/22/1983	CE	CESSNA	180   	2072612	1H7	1          	3O	  	5A6     	180E                
180F        	03/22/1983	CE	CESSNA	180   	2072614	1H7	1          	3O	  	5A6     	180F                
180G        	03/22/1983	CE	CESSNA	180   	2072616	1H7	1          	3O	  	5A6     	180G                
180H        	03/22/1983	CE	CESSNA	180   	2072618	1H7	1          	3O	  	5A6     	180H                
180J        	03/22/1983	CE	CESSNA	180   	2072622	1H7	1          	3O	  	5A6     	180J                
180K        	03/22/1983	CE	CESSNA	180   	2072624	1H7	1          	3O	  	5A6     	180K                
182         	09/28/1993	CE	CESSNA	182   	2072702	1H7	1          	3O	NT	3A13    	182                 
182A        	11/18/1993	CE	CESSNA	182   	2072704	1H7	1          	3O	NT	3A13    	182A                
182B        	11/18/1993	CE	CESSNA	182   	2072706	1H7	1          	3O	NT	3A13    	182B                
182C        	11/18/1993	CE	CESSNA	182   	2072708	1H7	1          	3O	NT	3A13    	182C                
182D        	11/18/1993	CE	CESSNA	182   	2072710	1H7	1          	3O	NT	3A13    	182D                
182E        	11/18/1993	CE	CESSNA	182   	2072712	1H7	1          	3O	NT	3A13    	182E                
182F        	11/18/1993	CE	CESSNA	182   	2072714	1H7	1          	3O	NT	3A13    	182F                
182G        	11/18/1993	CE	CESSNA	182   	2072716	1H7	1          	3O	NT	3A13    	182G                
182H        	11/18/1993	CE	CESSNA	182   	2072718	1H7	1          	3O	NT	3A13    	182H                
182J        	11/18/1993	CE	CESSNA	182   	2072722	1H7	1          	3O	NT	3A13    	182J                
182K        	11/18/1993	CE	CESSNA	182   	2072724	1H7	1          	3O	NT	3A13    	182K                
182L        	11/18/1993	CE	CESSNA	182   	2072726	1H7	1          	3O	NT	3A13    	182L                
182M        	11/18/1993	CE	CESSNA	182   	2072728	1H7	1          	3O	NT	3A13    	182M                
182N        	11/18/1993	CE	CESSNA	182   	2072730	1H7	1          	3O	NT	3A13    	182N                
182P        	11/18/1993	CE	CESSNA	182   	2075816	1H7	1          	3O	NT	TA13    	182P                
182Q        	11/18/1993	CE	CESSNA	182   	2072732	1H7	1          	3O	NT	3A13    	182Q                
182R        	11/18/1993	CE	CESSNA	182   	2072731	1L7	1          	3O	NT	3A13    	182R                
182S        	02/20/1998	CE	CESSNA	182   	2072701	1H7	1          	3O	NT	3A13    	182S                
182T        	04/22/2002	CE	CESSNA	182   	2072703	1H7	1          	3O	NT	3A13    	182T                
185         	09/28/1993	CE	CESSNA	185   	2072802	1H7	1          	3O	NC	3A24    	185                 
1856        	05/28/1999	WP	LKHEED	18    	5261642	2L7	2          	4R	RT	A723    	1856LEARSTAR        
185A        	03/22/1983	CE	CESSNA	185   	2072804	1H7	1          	3O	  	3A24    	185A                
185B        	03/22/1983	CE	CESSNA	185   	2072806	1H7	1          	3O	  	3A24    	185B                
185C        	03/22/1983	CE	CESSNA	185   	2072808	1H7	1          	3O	  	3A24    	185C                
185D        	03/22/1983	CE	CESSNA	185   	2072812	1H7	1          	3O	  	3A24    	185D                
185E        	03/22/1983	CE	CESSNA	185   	2072816	1H7	1          	3O	  	3A24    	185E                
185F        	01/22/1985	CE	CESSNA	185   	2072820	1H7	1          	3O	  	3A24    	185F                
188A        	02/05/1993	WP	LKHEED	188   	5262602	2L7	4          	4T	RT	4A22    	188A                
188ACESSNA  	03/22/1983	CE	CESSNA	188   	2073006	1L7	1          	3O	  	A9CE    	188A                
188B        	03/22/1983	CE	CESSNA	188   	2073007	1L7	1          	3O	  	A9CE    	188B                
188C        	06/10/1991	SO	LKHEED	188   	5262604	2L7	4          	4T	  	4A22    	188C                
188CESSNA   	03/22/1983	CE	CESSNA	188   	2073002	1L7	1          	3O	  	A9CE    	188                 
188LKHEED*  	03/22/1983	WP	LKHEED	188   	       	2L7	4          	4T	  	4A22    	188MODELUNK         
18AAIRSPC   	03/22/1983	GL	AIRSPC	18    	0440104	1G7	1          	3O	  	1H17    	18                  
18ABEECH    	02/09/2001	CE	BEECH 	18    	1150602	1L7	2          	3R	  	TC630   	18A                 
18AIRSPC    	03/22/1983	GL	AIRSPC	18    	0440102	1G7	1          	3O	  	1H17    	18A                 
18D         	02/09/2001	CE	BEECH 	18    	1150702	1L7	2          	3R	  	A684    	18D                 
18LEARSTAR  	03/22/1983	WP	LKHEED	18    	5261624	2L7	2          	4R	  	A723    	18                  
18LKHEED    	03/22/1983	WP	LKHEED	18    	5261602	2L7	2          	4R	  	A723    	18                  
18RAUSCH    	03/22/1983	EA	RAUSCH	18    	       	1L7	2          	3R	  	AR14    	18                  
18S         	02/09/2001	CE	BEECH 	18    	1150802	1L7	2          	3R	  	TC710   	18S                 
19          	03/22/1983	GL	TCRAFT	19    	9230702	1H7	1          	3O	  	1A9     	19                  
190         	09/28/1993	CE	CESSNA	190   	2072902	1H7	1          	3R	NC	A790    	190                 
1900        	02/09/2001	CE	BEECH 	1900  	1154160	2L7	2          	4T	RT	A24CE   	1900                
1900C       	02/09/2001	CE	BEECH 	1900  	1154161	2L7	2          	4T	RT	A24CE   	1900C               
1900D       	02/09/2001	CE	BEECH 	1900  	1154162	2L7	2          	4T	RT	A24CE   	1900D               
19181A      	10/07/1999	GL	AMTR  	1918  	05611CH	1Q7	1          	3O	NC	EXPA1Q71	BERGAERO19181A      
1928ROOS    	03/22/1983	CE	ROOS  	1928  	7680204	1Q7	1          	3V	  	ATC28   	1928                
195         	09/28/1993	CE	CESSNA	195   	2073102	1H7	1          	3R	NC	A790    	195                 
